id,fromLng,fromLat,id2,toLng,toLat,number,distance
16,-22.605600357056,63.985000610352,502,-0.190278,51.148102,1,1201
193,-79.63059997559999,43.6772003174,3494,-74.168701171875,40.692501068115234,1,347
248,-0.16678600013256073,5.605189800262451,813,28.246,-26.1392,1,2904
286,10.75469970703125,35.75809860229492,346,11.7861,48.353802,1,871
302,4.48443984985,50.901401519800004,342,9.9882297515869,53.630401611328,1,299
302,4.48443984985,50.901401519800004,490,-2.71909,51.382702,1,313
302,4.48443984985,50.901401519800004,3797,-73.77890015,40.63980103,1,3655
337,13.5225,52.380001,1553,12.5949,41.7994,1,732
338,13.767200469970703,51.1328010559082,346,11.7861,48.353802,1,211
340,8.570556,50.033333,342,9.9882297515869,53.630401611328,2,256
340,8.570556,50.033333,346,11.7861,48.353802,2,186
340,8.570556,50.033333,374,10.931667,48.425278,1,154
340,8.570556,50.033333,507,-0.461941,51.4706,2,405
340,8.570556,50.033333,609,12.656000137329,55.617900848389,1,422
340,8.570556,50.033333,1762,-69.668899536133,18.42970085144,1,4731
340,8.570556,50.033333,3316,103.994003,1.35019,2,6384
340,8.570556,50.033333,4035,6.958056,50.9425,1,94
340,8.570556,50.033333,4105,17.4709,-22.4799,1,5037
342,9.9882297515869,53.630401611328,346,11.7861,48.353802,3,372
342,9.9882297515869,53.630401611328,1229,-3.56264,40.471926,1,1105
344,7.1427397728,50.8658981323,346,11.7861,48.353802,2,270
346,11.7861,48.353802,352,9.685079574580001,52.461101532,1,298
346,11.7861,48.353802,507,-0.461941,51.4706,2,584
346,11.7861,48.353802,1130,33.799400329589844,27.178300857543945,2,1878
346,11.7861,48.353802,1132,32.7066,25.671,1,1931
346,11.7861,48.353802,1218,2.07846,41.2971,2,679
346,11.7861,48.353802,1229,-3.56264,40.471926,1,928
346,11.7861,48.353802,1509,15.0664,37.466801,1,770
346,11.7861,48.353802,1688,30.800501,36.898701,2,1242
346,11.7861,48.353802,2179,54.651100158691406,24.433000564575195,2,2845
346,11.7861,48.353802,2188,55.3643989563,25.2527999878,6,2834
346,11.7861,48.353802,2241,51.565102,25.261101,1,2670
346,11.7861,48.353802,3077,113.915001,22.308901,2,5601
346,11.7861,48.353802,3156,73.52909851074219,4.191830158233643,1,4722
346,11.7861,48.353802,3316,103.994003,1.35019,2,6250
346,11.7861,48.353802,3714,-77.45580292,38.94449997,1,4252
346,11.7861,48.353802,3885,100.74700164794922,13.681099891662598,1,5464
346,11.7861,48.353802,3998,2.73881006241,39.551700592,1,755
346,11.7861,48.353802,8590,-0.127778,51.508056,1,571
350,9.22196006775,48.689899444599995,580,4.76389,52.308601,1,317
351,13.2877,52.5597,609,12.656000137329,55.617900848389,1,212
421,24.963300704956,60.317199707031,609,12.656000137329,55.617900848389,2,554
502,-0.190278,51.148102,535,-3.372499942779541,55.95000076293945,1,356
502,-0.190278,51.148102,1056,-16.5725002289,28.044500351,1,1808
502,-0.190278,51.148102,1587,14.26,50.1008,1,636
507,-0.461941,51.4706,580,4.76389,52.308601,1,229
507,-0.461941,51.4706,609,12.656000137329,55.617900848389,2,608
507,-0.461941,51.4706,1382,2.55,49.012798,1,215
507,-0.461941,51.4706,1665,6.108950138092041,46.23809814453125,1,468
507,-0.461941,51.4706,2241,51.565102,25.261101,1,3253
507,-0.461941,51.4706,2997,72.8678970337,19.0886993408,1,4479
507,-0.461941,51.4706,3576,-80.29060363769531,25.79319953918457,1,4417
507,-0.461941,51.4706,3797,-73.77890015,40.63980103,2,3442
507,-0.461941,51.4706,3885,100.74700164794922,13.681099891662598,1,5947
507,-0.461941,51.4706,3988,-58.5358,-34.8222,1,6916
507,-0.461941,51.4706,4059,36.9277992249,-1.31923997402,1,4248
521,-1.6916699409484863,55.037498474121094,521,-1.6916699409484863,55.037498474121094,1,1
521,-1.6916699409484863,55.037498474121094,7389,-1.6171,54.9686,1,5
548,0.234999999404,51.8849983215,580,4.76389,52.308601,1,194
548,0.234999999404,51.8849983215,1553,12.5949,41.7994,1,906
548,0.234999999404,51.8849983215,1633,-25.6979007721,37.7411994934,1,1587
579,-58.447200775146484,-51.82279968261719,2647,-70.854599,-53.002602,1,528
579,-58.447200775146484,-51.82279968261719,2650,-70.78579711914062,-33.393001556396484,1,1415
580,4.76389,52.308601,609,12.656000137329,55.617900848389,1,393
580,4.76389,52.308601,644,11.100399971008,60.193901062012,1,596
580,4.76389,52.308601,1762,-69.668899536133,18.42970085144,1,4564
580,4.76389,52.308601,2279,140.386001587,35.7647018433,1,5790
580,4.76389,52.308601,3448,-71.00520325,42.36429977,1,3446
580,4.76389,52.308601,3797,-73.77890015,40.63980103,1,3633
580,4.76389,52.308601,3830,-87.9048,41.9786,1,4108
580,4.76389,52.308601,3885,100.74700164794922,13.681099891662598,2,5718
580,4.76389,52.308601,4059,36.9277992249,-1.31923997402,1,4146
609,12.656000137329,55.617900848389,3830,-87.9048,41.9786,1,4258
644,11.100399971008,60.193901062012,3494,-74.168701171875,40.692501068115234,1,3686
679,20.967100143399996,52.1656990051,679,20.967100143399996,52.1656990051,1,0
813,28.246,-26.1392,3797,-73.77890015,40.63980103,2,7973
1128,31.40559959411621,30.12190055847168,4059,36.9277992249,-1.31923997402,1,2201
1180,37.0745010376,-3.42940998077,4059,36.9277992249,-1.31923997402,1,146
1191,27.515199661254883,42.56959915161133,1194,23.411436080932617,42.696693420410156,1,209
1194,23.411436080932617,42.696693420410156,2985,37.4146,55.972599,1,1108
1225,1.3731199502899998,38.872898101800004,1524,8.72811,45.6306,1,599
1229,-3.56264,40.471926,1638,-9.13592,38.7813,1,318
1229,-3.56264,40.471926,3576,-80.29060363769531,25.79319953918457,1,4415
1273,1.36382,43.629101,1321,9.48373031616211,42.55270004272461,1,415
1382,2.55,49.012798,1762,-69.668899536133,18.42970085144,1,4464
1382,2.55,49.012798,3448,-71.00520325,42.36429977,1,3436
1382,2.55,49.012798,3988,-58.5358,-34.8222,1,6893
1489,19.261093,47.42976,1555,12.2388889,41.8002778,2,519
1555,12.2388889,41.8002778,1762,-69.668899536133,18.42970085144,1,4970
1590,34.88669967651367,32.01139831542969,2939,30.894699096679688,50.345001220703125,1,1282
1609,15.439599990844727,46.9911003112793,1688,30.800501,36.898701,1,1049
1613,16.569700241089,48.110298156738,4029,37.90629959106445,55.40879821777344,1,1035
1665,6.108950138092041,46.23809814453125,1678,8.54917,47.464699,1,143
1688,30.800501,36.898701,2948,30.262500762939453,59.80030059814453,1,1582
1762,-69.668899536133,18.42970085144,1825,-100.107002258,25.7784996033,1,2008
1762,-69.668899536133,18.42970085144,1909,-82.40910339355469,22.989200592041016,1,881
1762,-69.668899536133,18.42970085144,2650,-70.78579711914062,-33.393001556396484,1,3581
1762,-69.668899536133,18.42970085144,3566,-95.27890015,29.64539909,1,1786
1762,-69.668899536133,18.42970085144,3830,-87.9048,41.9786,1,1948
1762,-69.668899536133,18.42970085144,3877,-115.1520004,36.08010101,1,3014
1762,-69.668899536133,18.42970085144,4029,37.90629959106445,55.40879821777344,1,5831
1885,-84.20880126953125,9.993860244750977,3576,-80.29060363769531,25.79319953918457,1,1120
2188,55.3643989563,25.2527999878,2997,72.8678970337,19.0886993408,1,1196
2188,55.3643989563,25.2527999878,3024,79.88410186767578,7.180759906768799,2,2042
2188,55.3643989563,25.2527999878,3316,103.994003,1.35019,1,3630
2188,55.3643989563,25.2527999878,3339,144.843002,-37.673302,1,7231
2188,55.3643989563,25.2527999878,3341,138.531006,-34.945,1,6835
2188,55.3643989563,25.2527999878,3351,115.96700286865234,-31.94029998779297,1,5614
2188,55.3643989563,25.2527999878,4029,37.90629959106445,55.40879821777344,1,2263
2241,51.565102,25.261101,3144,80.16929626464844,12.990005493164062,1,2043
2241,51.565102,25.261101,3156,73.52909851074219,4.191830158233643,1,2058
2359,139.779999,35.552299,3304,101.70999908447,2.745579957962,1,3324
2372,128.93800354,35.1795005798,2378,126.791,37.5583,1,203
2397,121.019997,14.5086,3077,113.915001,22.308901,1,711
2562,-49.220699310302734,-16.631999969482422,2578,-47.1344985962,-23.0074005127,1,460
2564,-46.47305679321289,-23.435556411743164,2650,-70.78579711914062,-33.393001556396484,1,1624
2564,-46.47305679321289,-23.435556411743164,2816,-56.0308,-34.838402,1,975
2572,-47.459999,-5.53129,7376,-48.240501,-7.22787,1,128
2641,-70.338699,-18.348499,2650,-70.78579711914062,-33.393001556396484,1,1039
2647,-70.854599,-53.002602,2650,-70.78579711914062,-33.393001556396484,1,1354
2647,-70.854599,-53.002602,2665,-73.09400177001953,-41.438899993896484,1,805
2650,-70.78579711914062,-33.393001556396484,3988,-58.5358,-34.8222,1,706
2912,74.4776000977,43.0612983704,2985,37.4146,55.972599,1,1855
2948,30.262500762939453,59.80030059814453,2985,37.4146,55.972599,2,372
2960,39.170501708984,45.034698486328,2985,37.4146,55.972599,1,759
2960,39.170501708984,45.034698486328,2988,37.2615013123,55.5914993286,1,733
2975,60.802700042725,56.743099212646,2985,37.4146,55.972599,1,892
2985,37.4146,55.972599,4374,92.493301,56.172901,1,2064
2990,49.278701782227,55.606201171875,2993,50.16429901123,53.504901885986,1,149
2990,49.278701782227,55.606201171875,4029,37.90629959106445,55.40879821777344,1,444
3023,73.89610290530001,24.617700576799997,3136,76.401901,10.152,1,1012
3024,79.88410186767578,7.180759906768799,3304,101.70999908447,2.745579957962,1,1532
3035,103.81300354,13.410699844400002,3157,100.607002258,13.9125995636,1,218
3077,113.915001,22.308901,3144,80.16929626464844,12.990005493164062,1,2306
3077,113.915001,22.308901,3199,105.80699920654297,21.221200942993164,1,525
3077,113.915001,22.308901,3361,151.177001953125,-33.94609832763672,1,4591
3077,113.915001,22.308901,3797,-73.77890015,40.63980103,1,8054
3269,116.0510025024414,5.9372100830078125,3316,103.994003,1.35019,1,888
3269,116.0510025024414,5.9372100830078125,3930,126.45099639892578,37.46910095214844,1,2274
3304,101.70999908447,2.745579957962,3308,100.2770004272461,5.297140121459961,1,201
3316,103.994003,1.35019,3339,144.843002,-37.673302,1,3748
3316,103.994003,1.35019,3885,100.74700164794922,13.681099891662598,1,879
3316,103.994003,1.35019,3940,115.16699981689,-8.7481698989868,3,1038
3321,153.505004883,-28.1644001007,3361,151.177001953125,-33.94609832763672,1,422
3364,116.58499908447266,40.080101013183594,3406,121.80500030517578,31.143400192260742,1,683
3448,-71.00520325,42.36429977,3462,-112.01200103759766,33.43429946899414,1,2295
3448,-71.00520325,42.36429977,3520,-77.037697,38.8521,1,398
3448,-71.00520325,42.36429977,3797,-73.77890015,40.63980103,1,186
3448,-71.00520325,42.36429977,3820,-78.73220062,42.94049835,1,394
3458,-94.713898,39.2976,3717,-87.89659881591797,42.947200775146484,1,435
3462,-112.01200103759766,33.43429946899414,3469,-122.375,37.61899948120117,1,649
3462,-112.01200103759766,33.43429946899414,3636,-110.94100189208984,32.1161003112793,1,110
3462,-112.01200103759766,33.43429946899414,3720,-122.5979996,45.58869934,1,1009
3469,-122.375,37.61899948120117,3577,-122.308998,47.449001,1,679
3469,-122.375,37.61899948120117,3682,-84.428101,33.6367,3,2134
3520,-77.037697,38.8521,3797,-73.77890015,40.63980103,2,212
3536,-111.97799682617188,40.78839874267578,3682,-84.428101,33.6367,1,1585
3536,-111.97799682617188,40.78839874267578,3720,-122.5979996,45.58869934,1,628
3536,-111.97799682617188,40.78839874267578,3797,-73.77890015,40.63980103,1,1983
3576,-80.29060363769531,25.79319953918457,8590,-0.127778,51.508056,1,4428
3670,-97.038002,32.896801,3714,-77.45580292,38.94449997,1,1169
3673,-97.6698989868164,30.194499969482422,3682,-84.428101,33.6367,1,811
3682,-84.428101,33.6367,3950,-81.058098,29.179899,1,366
3797,-73.77890015,40.63980103,3878,-81.30899810791016,28.429399490356445,1,945
3849,-76.668297,39.1754,3858,-93.221802,44.882,1,934
3885,100.74700164794922,13.681099891662598,3940,115.16699981689,-8.7481698989868,1,1837
3940,115.16699981689,-8.7481698989868,8401,116.276675,-8.757322,1,75
7507,113.558911,22.197075,8058,114.152153,22.289372,1,38